Site_Number,Station_Name,Lat,Long,Sample_Time,Ecoli,Enterococci,Type
2,Buggy Creek,35.31,-97.936,05/21/2018,74,160,Bacteria
2,Buggy Creek,35.31,-97.936,06/04/2018,20.8,147.2,Bacteria
2,Buggy Creek,35.31,-97.936,06/21/2018,10.4,166.8,Bacteria
2,Buggy Creek,35.31,-97.936,07/11/2018,1,138,Bacteria
2,Buggy Creek,35.31,-97.936,07/16/2018,12,2757.2,Bacteria
2,Buggy Creek,35.31,-97.936,07/30/2018,5748,24619,Bacteria
2,Buggy Creek,35.31,-97.936,08/13/2018,11.6,2419.6,Bacteria
2,Buggy Creek,35.31,-97.936,08/27/2018,12.4,714,Bacteria
2,Buggy Creek,35.31,-97.936,09/10/2018,32.4,9678.4,Bacteria
2,Buggy Creek,35.31,-97.936,09/24/2018,6.2,579.4,Bacteria
17,Butler Creek,35.581,-95.418,05/23/2018,110,259,Bacteria
17,Butler Creek,35.581,-95.418,06/06/2018,34.4,233.2,Bacteria
17,Butler Creek,35.581,-95.418,06/18/2018,25.2,120.4,Bacteria
17,Butler Creek,35.581,-95.418,07/09/2018,19.4,198.4,Bacteria
17,Butler Creek,35.581,-95.418,07/18/2018,16.4,155.2,Bacteria
17,Butler Creek,35.581,-95.418,08/02/2018,24.6,38.4,Bacteria
17,Butler Creek,35.581,-95.418,08/16/2018,35.5,172.3,Bacteria
17,Butler Creek,35.581,-95.418,08/31/2018,30,689,Bacteria
17,Butler Creek,35.581,-95.418,09/14/2018,16.9,172.3,Bacteria
17,Butler Creek,35.581,-95.418,09/28/2018,309,1624,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,06/07/2018,537,1539,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,06/18/2018,4,447.6,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,06/19/2018,4,242,Bacteria
22,Canadian River Deep Fork ,35.659,-97.245,07/02/2018,2827.2,1038,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,07/10/2018,23.2,95.2,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,07/17/2018,10.2,74.8,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,07/31/2018,85,195,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,08/15/2018,6.3,27.2,Bacteria
