Site_Number,Station_Name,Lat,Long,Ecoli,Enterococci,Type
1,Walnut Creek ,35.164,-97.614,243,173,Bacteria
2,Buggy Creek,35.31,-97.936,74,160,Bacteria
3,Shell Creek,35.508,-97.79,144,504,Bacteria
4,Crutcho Creek,35.435,-97.475,295,609,Bacteria
5,Crooked Oak Creek,35.284,-97.415,132,134,Bacteria
6,West Elm Creek,35.334,-97.385,72,97,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,63,135,Bacteria
8,Deer Creek,35.755,-97.563,171,809,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,134,231,Bacteria
10,West Beaver Creek,36.101,-97.444,151,10,Bacteria
11,Turkey Creek,35.978,-97.923,118,285,Bacteria
12,Trail Creek,35.898,-97.857,644,355,Bacteria
13,Kingfisher Creek,35.858,-97.994,131,1211,Bacteria
14,Uncle John's Creek,35.828,-97.922,132,379,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,206,203,Bacteria
16,Coody Creek,35.714,-95.322,97,457,Bacteria
17,Butler Creek,35.581,-95.418,110,259,Bacteria
18,Gentry Creek,35.537,-95.676,317,250,Bacteria
20,Rock Creek,35.261,-97.336,10,52,Bacteria
21,Little River,35.282,-97.37,119,75,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,537,1539,Bacteria
23,Dugout Creek,35.956,-97.016,3654,24196,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,9606,24196,Bacteria
1,Walnut Creek ,35.164,-97.614,55,52.8,Bacteria
2,Buggy Creek,35.31,-97.936,20.8,147.2,Bacteria
3,Shell Creek,35.508,-97.79,43.6,467.6,Bacteria
4,Crutcho Creek,35.435,-97.475,58.4,136.4,Bacteria
5,Crooked Oak Creek,35.284,-97.415,4,67.6,Bacteria
6,West Elm Creek,35.334,-97.385,48.8,48.8,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,729,11199,Bacteria
8,Deer Creek,35.755,-97.563,41,670,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,37.6,48,Bacteria
10,West Beaver Creek,36.101,-97.444,4,63.2,Bacteria
11,Turkey Creek,35.978,-97.923,20.4,420,Bacteria
12,Trail Creek,35.898,-97.857,111.2,2068.8,Bacteria
13,Kingfisher Creek,35.858,-97.994,1041.2,1041.2,Bacteria
