Site_Number,Station_Name,Lat,Long,Type
07148400,"Salt Fork Arkansas River nr Alva, OK",36.81503056,-98.6481395,Streamflow
07149000,"MEDICINE LODGE R NR KIOWA, KS",37.03891547,-98.4709092,Streamflow
07149520,"Salt Fork Arkansas River at SH 11 nr Cherokee, OK",36.80555556,-98.2472222,Streamflow
07151000,"Salt Fork Arkansas River at Tonkawa, OK",36.6719792,-97.3094887,Streamflow
07151500,"CHIKASKIA R NR CORBIN, KS",37.12891225,-97.6019945,Streamflow
07152000,"Chikaskia River near Blackwell, OK",36.8114211,-97.277265,Streamflow
07152500,"Arkansas River at Ralston, OK",36.50421677,-96.7283672,Streamflow
07153000,"Black Bear Creek at Pawnee, OK",36.34366537,-96.7994788,Streamflow
07154500,"Cimarron River near Kenton, OK",36.92668707,-102.9590954,Streamflow
07155590,"CIMARRON R NR ELKHART, KS",37.12196746,-101.8979456,Streamflow
07156900,"Cimarron River near Forgan, OK",37.0111372,-100.4918171,Streamflow
07157500,"CROOKED C NR ENGLEWOOD, KS",37.032528,-100.2112531,Streamflow
07157950,"Cimarron River near Buffalo, OK",36.85197484,-99.315387,Streamflow
07158000,"Cimarron River near Waynoka, OK",36.51725644,-98.8795366,Streamflow
07159100,"Cimarron River near Dover, OK",35.95170756,-97.9144994,Streamflow
07159750,"Cottonwood Creek near Seward, OK",35.81366006,-97.478097,Streamflow
07160000,"Cimarron River near Guthrie, OK",35.9206023,-97.4258746,Streamflow
07160350,"Skeleton Creek at Enid, OK",36.3761449,-97.8003332,Streamflow
07160500,"Skeleton Creek near Lovell, OK",36.06004045,-97.5850471,Streamflow
07161450,"Cimarron River near Ripley, OK",35.9858927,-96.9122504,Streamflow
07164500,"Arkansas River at Tulsa, OK",36.14064807,-96.0063866,Streamflow
07164600,"Joe Creek at 61st St at Tulsa, OK",36.07565044,-95.9605501,Streamflow
07165562,"Haikey Creek at 101st St South at Tulsa, OK",36.01704297,-95.8488777,Streamflow
07165565,"Little Haikey Creek at 101st St South at Tulsa, OK",36.01759824,-95.8608227,Streamflow
07165570,"Arkansas River near Haskell, OK",35.82277778,-95.6377778,Streamflow
07170500,"VERDIGRIS R AT INDEPENDENCE, KS",37.22368014,-95.6777573,Streamflow
07171000,"Verdigris River near Lenapah, OK",36.85119615,-95.5860882,Streamflow
07174400,"Caney River above Coon Creek at Bartlesville, OK",36.75564425,-95.9722064,Streamflow
07175500,"Caney River near Ramona, OK",36.5089816,-95.8419306,Streamflow
07176000,"Verdigris River near Claremore, OK",36.3075,-95.6997222,Streamflow
07176321,"Bird Creek at SH 99 at Pawhuska, OK",36.66694444,-96.3138889,Streamflow
07176500,"Bird Creek at Avant, OK",36.48508798,-96.0602743,Streamflow
07176950,"Hominy Creek near Hominy, OK",36.4736793,-96.3789064,Streamflow
07177500,"Bird Creek near Sperry, OK",36.27842534,-95.954162,Streamflow
07177650,"Flat Rock Creek at Cincinnati Ave at Tulsa, OK",36.21536936,-95.9952759,Streamflow
07177800,"Coal Creek at Tulsa, OK",36.1945384,-95.9141599,Streamflow
07178000,"Bird Creek near Owasso, OK",36.24870534,-95.867213,Streamflow
07178200,"Bird Ck at State Highway 266 near Catoosa, OK",36.2231514,-95.8194322,Streamflow
07183500,"NEOSHO R NR PARSONS, KS",37.34005866,-95.1099687,Streamflow
07185000,"Neosho River near Commerce, OK",36.92868144,-94.9574574,Streamflow
07185030,"Elm Creek near Commerce, OK",36.92166667,-94.9183333,Streamflow
07185090,"Tar Creek near Commerce, OK",36.94367956,-94.8532862,Streamflow
07185095,"Tar Creek at 22nd Street Bridge at Miami, OK",36.90006955,-94.8682878,Streamflow
